code,Area,Shift,Start Time,Finish Time,Shift Hrs,Oncall From Time,Oncall To Time
,String(150),String(150),Time,Time,"Numeric(30,5)",Time,Time
1,12240-B0041-03,0800-1200-12240-B0041-03,8:00,12:00,4,0:00,0:00
2,12240-B0041-03,0800-1200-PFT-12240-B0041-03,8:00,12:00,4,0:00,0:00
3,12240-B0041-03,0800-1200-RED12240-B0041-03,8:00,12:00,4,0:00,0:00
4,12240-B0041-03,0800-1200-RT-12240-B0041-03,8:00,12:00,4,0:00,0:00
5,12240-B0041-03,0800-1330-12240-B0041-03,8:00,13:30,5.5,0:00,0:00
6,12240-B0041-03,0800-1430-12240-B0041-03,8:00,14:30,6.5,0:00,0:00
7,12240-B0041-03,0800-1630-12240-B0041-03,8:00,16:30,8.5,0:00,0:00
8,12240-B0041-03,0800-1630-PFT-12240-B0041-03,8:00,16:30,8.5,0:00,0:00
9,12240-B0041-03,0800-1630-RT-12240-B0041-03,8:00,16:30,8.5,0:00,0:00
10,12240-B0041-03,0800-1700-Orientation-12240-B0041-03,8:00,17:00,9,0:00,0:00
11,12240-B0041-03,0800-1730-12240-B0041-03,8:00,17:30,9.5,0:00,0:00
12,12240-B0041-03,0800-1730-PFT-12240-B0041-03,8:00,17:30,9.5,0:00,0:00
13,12240-B0041-03,0800-1730-RED-12240-B0041-03,8:00,17:30,9.5,0:00,0:00
14,12240-B0041-03,0800-1730-RT-12240-B0041-03,8:00,17:30,9.5,0:00,0:00
15,12240-B0041-03,0800-1730-US-SST-12240-B0041-03,8:00,17:30,9.5,0:00,0:00
16,12240-B0041-03,0800-1830-12240-B0041-03,8:00,18:30,10.5,0:00,0:00
17,12240-B0041-03,0800-1830-PFT-12240-B0041-03,8:00,18:30,10.5,0:00,0:00
18,12240-B0041-03,0800-1830-RED-12240-B0041-03,8:00,18:30,10.5,0:00,0:00
19,12240-B0041-03,0800-1900-12240-B0041-03,8:00,19:00,11,0:00,0:00
20,12240-B0041-03,0800-1900-RED-12240-B0041-03,8:00,19:00,11,0:00,0:00
21,12240-B0041-03,0800-1900-RT-12240-B0041-03,8:00,19:00,11,0:00,0:00
22,12240-B0041-03,0800-1930-12240-B0041-03,8:00,19:30,11.5,0:00,0:00
23,12240-B0041-03,0800-1930-PFT-12240-B0041-03,8:00,19:30,11.5,0:00,0:00
24,12240-B0041-03,0800-1930-RED-12240-B0041-03,8:00,19:30,11.5,0:00,0:00
25,12240-B0041-03,0800-1930-RT-12240-B0041-03,8:00,19:30,11.5,0:00,0:00
26,12240-B0041-03,0800-2030-12240-B0041-03,8:00,20:30,12.5,0:00,0:00
27,12240-B0041-03,1030-1200-Orientation-12240-B0041-03,10:30,12:00,1.5,0:00,0:00
28,12240-B0041-03,1100-2130-12240-B0041-03,11:00,21:30,10.5,0:00,0:00
29,12240-B0041-03,1200-1430-Trn-12240-B0041-03,12:00,14:30,2.5,0:00,0:00
30,12240-B0041-03,1200-1700-12240-B0041-03,12:00,17:00,5,0:00,0:00
31,12240-B0041-03,1200-1700-Trn-12240-B0041-03,12:00,17:00,5,0:00,0:00
32,12240-B0041-03,1300-2330-12240-B0041-03,13:00,23:30,10.5,0:00,0:00
33,12240-B0041-03,1300-2330-FT-12240-B0041-03,13:00,23:30,10.5,0:00,0:00
34,12240-B0041-03,1300-2330-RED-12240-B0041-03,13:00,23:30,10.5,0:00,0:00
35,12240-B0041-03,1300-2330-RT-12240-B0041-03,13:00,23:30,10.5,0:00,0:00
36,12240-B0041-03,1300-2330-US-SST-12240-B0041-03,13:00,23:30,10.5,0:00,0:00
37,12240-B0041-03,1330-2330-12240-B0041-03,13:30,23:30,10,0:00,0:00
38,12240-B0041-03,1400-2330-12240-B0041-03,14:00,23:30,9.5,0:00,0:00
39,12240-B0041-03,1400-2330-FT-12240-B0041-03,14:00,23:30,9.5,0:00,0:00
40,12240-B0041-03,1400-2330-RED-12240-B0041-03,14:00,23:30,9.5,0:00,0:00
41,12240-B0041-03,1400-2330-RT-12240-B0041-03,14:00,23:30,9.5,0:00,0:00
42,12240-B0041-03,1400-2400-12240-B0041-03,14:00,0:00,10,0:00,0:00
43,12240-B0041-03,1430-1700-Trn-12240-B0041-03,14:30,17:00,2.5,0:00,0:00
44,12240-B0041-03,1430-2330-12240-B0041-03,14:30,23:30,9,0:00,0:00
45,12240-B0041-03,1500-2330-12240-B0041-03,15:00,23:30,8.5,0:00,0:00
46,12240-B0041-03,1700-2330-12240-B0041-03,17:00,23:30,6.5,0:00,0:00
47,12240-B0041-03,1700-2330-FT-12240-B0041-03,17:00,23:30,6.5,0:00,0:00
48,12240-B0041-03,1700-2330-RED-12240-B0041-03,17:00,23:30,6.5,0:00,0:00
49,12240-B0041-03,1700-2330-RT-12240-B0041-03,17:00,23:30,6.5,0:00,0:00
50,12240-B0041-03,2300-0830-12240-B0041-03,23:00,8:30,9.5,0:00,0:00
